machine,model_label,n_prompt,n_gen,avg_tps,stddev_tps,avg_ns,model_size_bytes,model_type
M2Ultra_192GB,4B_F16,512,0,1931.570572,4.515738,265070236,8424393504,qwen35 4B F16
M2Ultra_192GB,4B_F16,0,128,36.792211,10.471866,3659447833,8424393504,qwen35 4B F16
M2Ultra_192GB,4B_Q8_0,512,0,1373.610318,121.747681,374607236,4482403104,qwen35 4B Q8_0
M2Ultra_192GB,4B_Q8_0,0,128,54.02484,19.503259,2660100069,4482403104,qwen35 4B Q8_0
M2Ultra_192GB,4B_Q6_K,512,0,1358.884572,22.196375,376846167,3464055584,qwen35 4B Q6_K
M2Ultra_192GB,4B_Q6_K,0,128,61.977526,13.688545,2144407652,3464055584,qwen35 4B Q6_K
M2Ultra_192GB,4B_Q5_K_M,512,0,1276.055335,12.304811,401261292,3108758304,qwen35 4B Q5_K - Medium
M2Ultra_192GB,4B_Q5_K_M,0,128,56.596403,10.809581,2322954652,3108758304,qwen35 4B Q5_K - Medium
M2Ultra_192GB,4B_Q4_K_M,512,0,1337.636818,58.439771,383240514,2707514144,qwen35 4B Q4_K - Medium
M2Ultra_192GB,4B_Q4_K_M,0,128,58.471711,13.294017,2264763916,2707514144,qwen35 4B Q4_K - Medium
M2Ultra_192GB,4B_Q3_K_M,512,0,1611.939261,3.002211,317630569,2257476384,qwen35 4B Q3_K - Medium
M2Ultra_192GB,4B_Q3_K_M,0,128,68.745739,0.175888,1861941708,2257476384,qwen35 4B Q3_K - Medium
M2Ultra_192GB,4B_Q2_K,512,0,1700.945042,0.129129,301009138,1797505824,qwen35 4B Q2_K - Medium
M2Ultra_192GB,4B_Q2_K,0,128,72.767519,0.068309,1759027611,1797505824,qwen35 4B Q2_K - Medium
