machine,framework,model,n_gen,avg_tps,std_tps,size_mb
M2Ultra_192GB,MLX,Gemma3-4B-QAT-3bit,128,137.322,0.308,2871.0
M2Ultra_192GB,MLX,Gemma3-4B-QAT-4bit,128,119.012,0.093,3048.8
M2Ultra_192GB,MLX,Gemma3-4B-QAT-6bit,128,107.177,0.239,4577.7
M2Ultra_192GB,MLX,Gemma3-4B-QAT-8bit,128,96.395,0.179,5715.5
M2Ultra_192GB,MLX,Qwen3.5-0.8B,128,177.628,0.386,1770.0
M2Ultra_192GB,MLX,Qwen3.5-4B,128,59.329,0.663,9342.9
M2Ultra_192GB,MLX,Qwen3.5-9B,128,27.273,1.884,19329.4
M2Ultra_192GB,MLX,Qwen3-8B-3bit,128,74.373,19.561,3600.0
M2Ultra_192GB,MLX,Qwen3-8B-4bit,128,72.978,19.83,4622.1
M2Ultra_192GB,MLX,Qwen3-8B-6bit,128,54.251,3.964,6689.4
